ax,ay,az,gx,gy,gz,id
0.398405,2.6668,9.86799,-36.8136,-8.74018,0.593471,3
0.281156,2.85105,9.96251,-63.3347,-13.0452,-0.535276,3
0.349352,3.4002,10.0558,-104.731,-19.9751,-1.68152,3
0.76331,2.0985,9.99003,-249.596,-34.2988,-2.09277,3
1.02652,0.344566,9.72084,-277.823,-35.7601,-0.657775,3
1.15095,-1.41057,9.59401,-286.301,-35.7514,0.339722,3
1.19162,-2.55793,9.56052,-278.523,-35.4451,0.77722,3
1.25025,-3.37388,9.47557,-255.598,-33.2576,1.08347,3
1.24187,-3.73519,9.4337,-224.177,-30.2126,1.87097,3
1.24068,-3.95892,9.38584,-190.017,-26.9489,2.43096,3
1.19282,-4.17069,9.32124,-153.328,-23.4401,2.51847,3
1.13898,-4.32502,9.20399,-116.272,-19.5726,2.58847,3
1.19402,-4.59661,9.05683,-79.7672,-14.9177,2.45722,3
1.45005,-6.46421,8.4012,48.4375,5.03228,2.27347,3
1.45962,-7.52423,8.14636,120.563,14.5873,3.27971,3
1.51346,-6.83031,8.32821,188.98,18.481,2.88596,3
1.48116,-6.38883,8.40479,256.801,23.8447,1.63472,3
1.49551,-5.32163,8.33539,284.783,28.9635,1.14472,3
1.54457,-2.67996,8.64885,285.203,31.011,-1.43652,3
1.37587,-0.0143569,9.32841,285.203,32.4984,-4.09651,3
1.28614,2.21575,10.0702,285.203,31.746,-6.74776,3
1.14736,3.94935,10.7904,284.748,29.0685,-9.68774,3
0.859023,3.85842,10.7593,262.969,27.5022,-9.97649,3
0.445065,3.57607,9.4684,105.304,11.236,-6.56401,3
0.448654,3.32602,9.0652,76.3411,5.95103,-6.72151,3
0.442672,3.35474,8.82233,56.5224,1.69854,-6.97526,3
0.471386,3.68255,8.77687,39.4425,-1.3902,-7.07151,3
0.484546,4.40997,8.80319,15.6775,-4.02394,-7.20275,3
0.537188,5.16132,8.79242,-17.2924,-6.43018,-6.83526,3
0.622133,5.69611,8.66441,-57.7348,-8.16268,-5.34776,3
0.638883,5.71047,8.52562,-101.931,-8.96767,-3.09902,3
0.660419,5.34437,8.52682,-149.671,-9.95642,-0.867775,3
0.708275,4.78445,8.62133,-194.724,-9.79892,1.18847,3
0.748953,1.22512,9.29491,-265.879,-5.05644,9.30844,3
0.770488,-0.0861416,9.51386,-265.004,-3.54269,12.7559,3
0.748953,-0.9332,9.81894,-259.614,-3.67394,14.7422,3
0.728614,-1.63071,9.98405,-246.848,-4.39144,16.4922,3
0.803988,-2.00279,10.0833,-234.974,-5.78269,17.5072,3
0.875773,-2.8008,9.98285,-217.159,-4.80269,17.2009,3
0.891326,-3.10229,9.81057,-204.691,-7.20018,17.4372,3
0.9667,-3.3667,9.88235,-198.854,-10.1402,16.0459,3
1.00738,-3.7998,9.86201,-197.297,-13.8327,13.5522,3
1.13779,-4.49252,9.71725,-192.633,-16.5276,11.0059,3
1.30768,-6.11366,8.95154,-168.343,-20.8064,1.73972,3
1.27059,-6.64247,8.67757,-146.932,-19.6251,-1.52402,3
1.26939,-7.18086,8.48255,-117.445,-16.7727,-4.76151,3
1.24546,-8.91446,8.18943,-66.3272,-8.88017,-7.61401,3
1.20837,-10.7031,7.7671,12.0376,0.963545,-8.60275,3
1.26341,-10.8096,7.27418,102.39,6.09103,-9.1015,3
1.32443,-10.0247,7.11505,193.311,11.271,-10.8952,3
1.32203,-8.6668,6.81954,270.477,17.5622,-11.9977,3
1.24068,-5.60757,6.92363,285.203,20.7647,-11.499,3
1.23111,-2.17866,7.35434,285.203,21.7272,-11.674,3
0.801595,3.92901,9.69212,285.019,25.411,-12.6977,3
0.655633,5.0668,10.2496,258.166,22.541,-12.6277,3
0.503689,5.32403,10.3083,176.633,17.5272,-12.4527,3
0.472582,4.44586,9.7651,96.6673,12.5923,-10.4577,3
0.582652,3.39541,9.52582,36.1437,8.33978,-8.0165,3
0.656829,2.15474,9.49711,-1.30616,5.04978,-5.97776,3
0.6999,1.31964,9.62632,-18.3686,2.87104,-4.83151,3
0.650847,1.14736,10.051,-23.8986,1.23479,-4.35026,3
0.588634,1.44646,10.2748,-27.0223,0.0535483,-4.40276,3
0.62333,2.02313,10.2831,-32.1586,-1.20645,-2.88027,3
0.521635,4.5332,10.1898,-151.954,-10.9714,0.92597,3
0.448654,4.51286,10.0427,-220.581,-16.4751,2.60596,3
0.473778,3.27816,9.76869,-275.644,-21.8914,5.84345,3
0.642473,1.24187,9.42293,-288.165,-26.6076,9.12469,3
0.792024,-1.0337,9.07597,-288.165,-29.4601,11.4172,3
0.904486,-3.25663,8.79123,-288.165,-30.7113,13.0709,3
1.08873,-4.94835,8.62492,-288.165,-31.3414,13.4559,3
1.20837,-6.0993,8.56989,-287.973,-31.8314,13.2547,3
1.24068,-7.2981,8.51246,-269.712,-30.1864,13.2809,3
1.22273,-7.9657,8.3665,-218.183,-27.0626,12.3709,3
1.43091,-9.05324,7.57448,-41.0135,-13.2989,6.47345,3
1.47039,-9.2315,7.401,18.5388,-7.98768,4.60096,3
1.61755,-9.84407,7.01097,86.6398,-0.970199,3.60346,3
1.6678,-9.68016,6.9679,159.028,5.64478,3.45471,3
1.6678,-9.30329,6.76451,235.197,12.951,2.36972,3
1.59721,-8.05423,6.76929,282.245,19.6972,2.38722,3
1.50867,-5.94736,6.89013,285.203,25.0522,0.497221,3
1.38425,-3.56052,7.38305,285.203,28.4822,-1.17402,3
1.26102,-1.75155,8.065,285.203,30.8097,-3.41402,3
1.17607,-0.256032,8.65962,285.203,31.5272,-6.24026,3
0.656829,4.97587,10.794,229.886,23.3197,-16.1277,3
0.448654,4.90169,10.2628,142.36,16.6347,-14.7452,3
0.369691,4.4315,9.63708,65.3861,9.67852,-12.339,3
0.391226,3.62871,9.54616,3.69883,3.02854,-11.4202,3
0.484546,2.62134,9.80937,-39.7973,-1.9502,-12.1465,3
0.519242,2.0674,10.0714,-71.0435,-5.41519,-13.704,3
0.532403,1.92622,10.0893,-89.7684,-7.40143,-13.4152,3
0.527617,2.76969,10.2185,-115.038,-10.3589,-12.4702,3
0.552742,3.4313,10.0929,-151.106,-14.0602,-11.2277,3
0.602991,3.80219,9.86799,-196.886,-17.5864,-8.51525,3
0.857826,0.786041,9.18006,-288.165,-25.8464,3.35846,3
0.965504,-1.28016,9.03649,-288.165,-27.0189,7.08595,3
1.06361,-3.28295,8.88813,-288.165,-27.0364,10.1484,3
1.12702,-5.08355,8.81515,-286.389,-26.5376,12.8259,3
1.17846,-6.52403,8.75653,-256.543,-24.7876,14.1647,3
1.18684,-7.60678,8.65005,-197.971,-21.2526,14.3397,3
1.21077,-8.30668,8.51725,-130.106,-16.2214,13.6222,3
1.3005,-8.42034,8.34855,-61.1385,-11.2602,12.2922,3
1.38305,-8.18943,8.1332,4.77508,-6.08894,11.0584,3
1.52064,-7.97767,7.84487,66.8736,-1.1452,10.4634,3
1.58165,-5.21396,7.83051,207.503,13.966,9.49219,3
1.50987,-4.28076,8.132,231.627,18.516,8.5822,3
1.42732,-3.40738,8.58065,243.422,22.0072,7.19095,3
1.28734,-2.44427,8.91446,243.868,24.5185,5.27471,3
1.13779,-1.38664,9.33081,231.496,25.656,3.13971,3
0.972682,-0.367298,9.78185,206.873,25.1572,0.575971,3
0.796809,0.404387,10.2006,172.022,23.5647,-1.81277,3
0.652044,0.954736,10.4315,128.412,20.2922,-3.77277,3
0.617348,1.07916,10.483,81.1099,15.8123,-5.40026,3
0.544367,0.984646,10.4351,36.2837,11.4198,-6.81776,3
0.59342,-0.82313,10.398,-36.3586,0.981045,-8.0515,3
0.599402,-1.35194,10.4495,-34.2236,-0.6902,-7.76275,3
0.679561,-1.67976,10.4016,-23.2948,-1.52145,-7.09776,3
0.711864,-1.71805,10.3178,-7.80739,-1.7402,-6.28401,3
0.690329,-1.43809,10.3023,8.14382,-1.9502,-5.22526,3
0.683151,-0.97986,10.2377,21.1813,-1.9852,-3.99152,3
