ax,ay,az,gx,gy,gz,id
-0.866201,-9.67418,-1.85803,2.51943,2.67274,2.35372,0
-0.89013,-9.65862,-1.80299,2.62442,2.58524,2.30997,0
-0.89013,-9.65862,-1.80299,2.78192,2.41024,2.13497,0
-0.917647,-9.62871,-1.79581,2.80818,2.17399,1.99497,0
-0.942772,-9.59043,-1.78146,2.71192,1.81524,1.83747,0
-0.954736,-9.59521,-1.76829,2.28318,1.31649,1.67122,0
-0.955932,-9.65623,-1.77547,1.74943,0.791493,1.62747,0
-0.9332,-9.69571,-1.78744,1.54818,0.450244,1.39122,0
-0.900897,-9.67657,-1.77667,1.61818,0.213995,1.01497,0
-0.875773,-9.68494,-1.77069,1.37318,0.0389953,0.726223,0
-0.881755,-9.63948,-1.74796,0.778179,-0.179754,0.192475,0
-0.870987,-9.68255,-1.75753,0.410681,-0.302253,0.236225,0
-0.866201,-9.69571,-1.77188,0.428181,-0.346003,0.192475,0
-0.878165,-9.64426,-1.7671,0.471931,-0.346003,-0.00877428,0
-0.872184,-9.60479,-1.76351,0.270681,-0.381004,-0.140024,0
-0.863809,-9.61795,-1.77308,-0.263067,-0.503502,-0.210024,0
-0.87338,-9.65503,-1.8006,-0.613066,-0.556002,-0.341274,0
-0.855434,-9.68375,-1.81615,-0.814316,-0.696002,-0.577522,0
-0.853041,-9.66221,-1.82333,-0.814316,-0.731002,-0.813772,0
-0.867398,-9.63111,-1.8341,-0.788066,-0.871002,-0.953772,0
-0.836291,-9.6335,-1.85444,-0.788066,-1.2735,-0.805022,0
-0.824327,-9.63948,-1.8652,-0.665566,-1.3085,-0.621273,0
-0.807577,-9.65623,-1.87717,-0.648066,-1.28225,-0.463773,0
-0.801595,-9.65144,-1.89511,-0.534317,-1.1685,-0.297524,0
-0.795613,-9.65982,-1.89153,-0.420567,-1.0285,-0.166275,0
-0.799202,-9.65384,-1.88794,-0.446817,-0.862253,-0.0612745,0
-0.815952,-9.66939,-1.9011,-0.394317,-0.696002,0.104975,0
-0.819541,-9.67418,-1.89751,-0.306817,-0.547252,0.209975,0
-0.82672,-9.68255,-1.88794,-0.140568,-0.468503,0.227475,0
-0.830309,-9.67537,-1.88076,0.0781817,-0.407254,0.201225,0
-0.817148,-9.6335,-1.83888,0.445681,-0.468503,-0.210024,0
-0.82672,-9.62153,-1.83051,0.471931,-0.494752,-0.288774,0
-0.825523,-9.61675,-1.82213,0.436931,-0.591003,-0.262524,0
