time(s),VBATT ( # / 2^16)
30,65523
60,65523
90,65523
120,65523
150,65523
180,65523
210,65523
240,65523
270,65523
300,65523
330,65523
360,65523
390,65523
420,65523
450,65523
480,65523
510,65523
540,65523
570,65523
600,65523
630,65523
660,65523
690,65523
720,65523
750,65523
780,65523
810,65523
840,65523
870,65523
900,65523
930,65523
960,65523
990,65523
1020,65523
1050,65523
1080,65523
1110,65523
1140,65523
1170,65523
1200,65523
1230,65523
1260,65523
1290,65523
1320,65523
1350,65523
1380,65523
1410,65523
1440,65523
1470,65523
1500,65523
1530,65523
1560,65523
1590,65523
1620,65523
1650,65523
1680,65523
1710,65523
1740,65523
1770,65523
1800,65523
1830,65523
1860,65523
1890,65523
1920,65523
1950,65523
1980,65523
2010,65523
2040,65523
2070,65523
2100,65523
2130,65523
2160,65523
2190,65523
2220,65523
2250,65523
2280,65523
2310,65523
2340,65523
2370,65523
2400,65523
2430,65523
2460,65523
2490,65523
2520,65523
2550,65523
2580,65523
2610,65523
2640,65523
2670,65523
2700,65523
2730,65523
2760,65523
2790,65523
2820,65523
2850,65523
2880,65523
2910,65523
2940,65523
2970,65523
3000,65523
3030,65523
3060,65523
3090,65523
3120,65523
3150,65523
3180,65523
3210,65523
3240,65523
3270,65523
3300,65523
3330,65523
3360,65523
3390,65523
3420,65523
3450,65523
3480,65523
3510,65523
3540,65523
3570,65523
3600,65523
3630,65523
3660,65523
3690,65523
3720,65523
3750,65523
3780,65523
3810,65523
3840,65523
3870,65523
3900,65523
3930,65523
3960,65523
3990,65523
4020,65523
4050,65523
4080,65523
4110,65523
4140,65523
4170,65523
4200,65523
4230,65523
4260,65523
4290,65523
4320,65523
4350,65523
4380,65523
4410,65523
4440,65523
4470,65523
4500,65523
4530,65523
4560,65523
4590,65523
4620,65523
4650,65523
4680,65523
4710,65523
4740,65523
4770,65523
4800,65523
4830,65523
4860,65523
4890,65523
4920,65523
4950,65523
4980,65523
5010,65523
5040,65523
5070,65523
5100,65523
5130,65523
5160,65523
5190,65523
5220,65523
5250,65523
5280,65523
5310,65523
5340,65523
5370,65523
5400,65523
5430,65523
5460,65523
5490,65523
5520,65523
5550,65523
5580,65523
5610,65523
5640,65523
5670,65523
5700,65523
5730,65523
5760,65523
5790,65523
5820,65523
5850,65523
5880,65523
5910,65523
5940,65523
5970,65523
6000,65523
6030,65523
6060,65523
6090,65523
